"trade_id","txid","opened_at","closed_at","pair","direction","status","entry","signal_price","initial_stop","maker_taker","requested_qty","entry_filled_qty","exchange_fill_price","exchange_fee_actual","exchange_cost_actual","fee_tier","stop","tp1","tp2","tp3","quantity","original_quantity","remaining_quantity","partial_taken","position_value","risk_percent","risk_dollars","leverage","max_leverage","leverage_limited","raw_score","adjusted_score","setup_score","rr","setup_quality","atr_percent","gbot_version","asset_tier","macro_score","macro_bias","market_regime","bull_probability","bear_probability","score_15m","score_1h","score_4h","score_1d","timeframe_alignment","timeframe_conflict","gate_results","entry_reasons","entry_block_reason","decision_telemetry","market_context_id","snapshot","snapshot_id","snapshot_timestamp","candle_metadata","best_favorable_price","worst_adverse_price","mfe_dollars","mae_dollars","mfe_r","mae_r","max_unrealized_profit","max_unrealized_loss","tp1_touched","tp2_touched","tp3_touched","max_r_achieved","exit_price","gross_pnl","realized_pnl","fees","realized_fees","net_pnl","result","ret7_return_pct","ret7_gate_pass","funding_cost_modeled","borrow_cost_modeled","funding_cost_estimate","borrow_cost_estimate"
"""JUPUSD-20260901064427""","null","""2026-09-01T06:44:27.378123+00:00""","""2026-09-01T13:02:54.288100+00:00""","""JUPUSD""","""LONG""","""CLOSED""","0.2217","null","null","null","null","null","null","null","null","null","0.21563353","0.23383294","0.23989941","0.25203235","24726.07628489","24726.07628489","0.0","false","5481.77","1.5","150.0","0.55","3.0","false","81","100","96","3.0","85.0","1.37","""V10""","3","75.0","""BULL""","""BULL""","93.0","7.0","70.0","82.0","81.0","81.0","true","false","{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}","[""Strong macro confirmation"",""Full timeframe alignment"",""Strong daily trend"",""Strong 4H trend""]","""Qualified""","{""raw_score"":81,""adjusted_score"":100,""action"":""STRONG BUY"",""setup_score"":96,""trade_allowed"":true,""opportunity_status"":""ENTRY_READY"",""block_reason"":""Qualified"",""reasons"":[""Strong macro confirmation"",""Full timeframe alignment"",""Strong daily trend"",""Strong 4H trend""],""asset_tier"":3,""macro_score"":75.0,""macro_bias"":""BULL"",""market_regime"":""BULL"",""bull_probability"":93.0,""bear_probability"":7.0,""score_15m"":70.0,""score_1h"":82.0,""score_4h"":81.0,""score_1d"":81.0,""alignment"":true,""conflict"":false,""gate_results"":{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}}","null","{""snapshot_id"":""71e88427debc4445a1957f57abcee4b6"",""snapshot_timestamp"":""2026-09-01T06:42:52.808255+00:00""}","""71e88427debc4445a1957f57abcee4b6""","""2026-09-01T06:42:52.808255+00:00""","{""decision_timestamp"":1788238800,""decision_status"":""closed"",""current_timestamp"":1788242400,""current_status"":""current""}","0.22237","0.2149","16.56647111","168.13731874","0.11044314","1.12091546","16.56647111","-168.13731874","false","false","false","0.11044314","0.2149","-168.14","0.0","21.59","0.0","-189.73","""STOP""","null","null","null","null","null","null"
"""PLUMEUSD-20260901064431""","null","""2026-09-01T06:44:31.550403+00:00""","""2026-09-01T09:05:01.184458+00:00""","""PLUMEUSD""","""LONG""","""CLOSED""","0.01487","null","null","null","null","null","null","null","null","null","0.01434557","0.01591887","0.0164433","0.01749217","238354.02246248","238354.02246248","0.0","false","3544.32","1.25","125.0","0.35","3.0","false","82","92","96","3.0","85.0","1.76","""V10""","3","75.0","""BULL""","""BULL""","93.0","7.0","70.0","76.0","93.0","66.0","false","false","{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}","[""Strong macro confirmation"",""Strong 4H trend""]","""Qualified""","{""raw_score"":82,""adjusted_score"":92,""action"":""STRONG BUY"",""setup_score"":96,""trade_allowed"":true,""opportunity_status"":""ENTRY_READY"",""block_reason"":""Qualified"",""reasons"":[""Strong macro confirmation"",""Strong 4H trend""],""asset_tier"":3,""macro_score"":75.0,""macro_bias"":""BULL"",""market_regime"":""BULL"",""bull_probability"":93.0,""bear_probability"":7.0,""score_15m"":70.0,""score_1h"":76.0,""score_4h"":93.0,""score_1d"":66.0,""alignment"":false,""conflict"":false,""gate_results"":{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}}","null","{""snapshot_id"":""71e88427debc4445a1957f57abcee4b6"",""snapshot_timestamp"":""2026-09-01T06:42:52.808255+00:00""}","""71e88427debc4445a1957f57abcee4b6""","""2026-09-01T06:42:52.808255+00:00""","{""decision_timestamp"":1788238800,""decision_status"":""closed"",""current_timestamp"":1788242400,""current_status"":""current""}","0.01487","0.01434","0.0","126.32763191","0.0","1.01062106","0.0","-126.32763191","false","false","false","0.0","0.01434","-126.33","0.0","13.93","0.0","-140.26","""STOP""","null","null","null","null","null","null"
"""MONUSD-20260901064432""","null","""2026-09-01T06:44:32.025259+00:00""","""2026-09-01T17:03:05.583373+00:00""","""MONUSD""","""LONG""","""CLOSED""","0.02713","null","null","null","null","null","null","null","null","null","0.02629642","0.02879716","0.02963073","0.03129789","119964.49051081","119964.49051081","0.0","false","3254.64","1.0","100.0","0.33","3.0","false","78","88","93","3.0","85.0","1.54","""V10""","3","75.0","""BULL""","""BULL""","93.0","7.0","86.0","84.0","77.0","69.0","false","false","{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}","[""Strong macro confirmation"",""Strong 4H trend""]","""Qualified""","{""raw_score"":78,""adjusted_score"":88,""action"":""BUY"",""setup_score"":93,""trade_allowed"":true,""opportunity_status"":""ENTRY_READY"",""block_reason"":""Qualified"",""reasons"":[""Strong macro confirmation"",""Strong 4H trend""],""asset_tier"":3,""macro_score"":75.0,""macro_bias"":""BULL"",""market_regime"":""BULL"",""bull_probability"":93.0,""bear_probability"":7.0,""score_15m"":86.0,""score_1h"":84.0,""score_4h"":77.0,""score_1d"":69.0,""alignment"":false,""conflict"":false,""gate_results"":{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}}","null","{""snapshot_id"":""71e88427debc4445a1957f57abcee4b6"",""snapshot_timestamp"":""2026-09-01T06:42:52.808255+00:00""}","""71e88427debc4445a1957f57abcee4b6""","""2026-09-01T06:42:52.808255+00:00""","{""decision_timestamp"":1788238800,""decision_status"":""closed"",""current_timestamp"":1788242400,""current_status"":""current""}","0.0273","0.02629","20.39396339","100.77017203","0.20393963","1.00770172","20.39396339","-100.77017203","false","false","false","0.20393963","0.02629","-100.77","0.0","12.82","0.0","-113.59","""STOP""","null","null","null","null","null","null"
"""XBTUSD-20260901064432""","null","""2026-09-01T06:44:32.509202+00:00""","""2026-09-01T09:05:03.214542+00:00""","""XBTUSD""","""LONG""","""CLOSED""","78878.5","null","null","null","null","null","null","null","null","null","78054.57263117","80526.35473767","81350.2821065","82998.13684417","0.18205488","0.18205488","0.0","false","14360.22","1.5","150.0","1.44","3.0","false","83","100","91","3.0","70.0","0.52","""V10""","1","75.0","""BULL""","""BULL""","93.0","7.0","100.0","85.0","84.0","74.0","true","false","{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}","[""Strong macro confirmation"",""Full timeframe alignment"",""Strong 4H trend""]","""Qualified""","{""raw_score"":83,""adjusted_score"":100,""action"":""STRONG BUY"",""setup_score"":91,""trade_allowed"":true,""opportunity_status"":""ENTRY_READY"",""block_reason"":""Qualified"",""reasons"":[""Strong macro confirmation"",""Full timeframe alignment"",""Strong 4H trend""],""asset_tier"":1,""macro_score"":75.0,""macro_bias"":""BULL"",""market_regime"":""BULL"",""bull_probability"":93.0,""bear_probability"":7.0,""score_15m"":100.0,""score_1h"":85.0,""score_4h"":84.0,""score_1d"":74.0,""alignment"":true,""conflict"":false,""gate_results"":{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}}","null","{""snapshot_id"":""71e88427debc4445a1957f57abcee4b6"",""snapshot_timestamp"":""2026-09-01T06:42:52.808255+00:00""}","""71e88427debc4445a1957f57abcee4b6""","""2026-09-01T06:42:52.808255+00:00""","{""decision_timestamp"":1788238800,""decision_status"":""closed"",""current_timestamp"":1788242400,""current_status"":""current""}","79156.6","77863.8","50.62946213","184.73108674","0.33752975","1.23154058","50.62946213","-184.73108674","false","false","false","0.33752975","77863.8","-184.73","0.0","57.07","0.0","-241.8","""STOP""","null","null","null","null","null","null"
"""ETHUSD-20260901064432""","null","""2026-09-01T06:44:32.960501+00:00""","""2026-09-01T14:01:13.619501+00:00""","""ETHUSD""","""LONG""","""CLOSED""","2475.83","null","null","null","null","null","null","null","null","null","2444.07607319","2539.33785362","2571.09178044","2634.59963406","4.72382521","4.72382521","0.0","false","11695.39","1.5","150.0","1.17","3.0","false","84","100","91","3.0","70.0","0.64","""V10""","1","75.0","""BULL""","""BULL""","93.0","7.0","90.0","86.0","84.0","81.0","true","false","{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}","[""Strong macro confirmation"",""Full timeframe alignment"",""Strong daily trend"",""Strong 4H trend""]","""Qualified""","{""raw_score"":84,""adjusted_score"":100,""action"":""STRONG BUY"",""setup_score"":91,""trade_allowed"":true,""opportunity_status"":""ENTRY_READY"",""block_reason"":""Qualified"",""reasons"":[""Strong macro confirmation"",""Full timeframe alignment"",""Strong daily trend"",""Strong 4H trend""],""asset_tier"":1,""macro_score"":75.0,""macro_bias"":""BULL"",""market_regime"":""BULL"",""bull_probability"":93.0,""bear_probability"":7.0,""score_15m"":90.0,""score_1h"":86.0,""score_4h"":84.0,""score_1d"":81.0,""alignment"":true,""conflict"":false,""gate_results"":{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}}","null","{""snapshot_id"":""71e88427debc4445a1957f57abcee4b6"",""snapshot_timestamp"":""2026-09-01T06:42:52.808255+00:00""}","""71e88427debc4445a1957f57abcee4b6""","""2026-09-01T06:42:52.808255+00:00""","{""decision_timestamp"":1788238800,""decision_status"":""closed"",""current_timestamp"":1788242400,""current_status"":""current""}","2483.86","2443.39","37.93231644","153.24088981","0.25288211","1.02160593","37.93231644","-153.24088981","false","false","false","0.25288211","2443.39","-153.24","0.0","46.47","0.0","-199.71","""STOP""","null","null","null","null","null","null"
"""FETUSD-20260901064433""","null","""2026-09-01T06:44:33.424565+00:00""","""2026-09-01T09:05:05.436066+00:00""","""FETUSD""","""LONG""","""CLOSED""","0.1574","null","null","null","null","null","null","null","null","null","0.15332775","0.16554451","0.16961676","0.17776127","24556.44913745","24556.44913745","0.0","false","3865.19","1.0","100.0","0.39","3.0","false","78","88","91","3.0","85.0","1.29","""V10""","3","75.0","""BULL""","""BULL""","93.0","7.0","60.0","80.0","80.0","74.0","false","false","{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}","[""Strong macro confirmation"",""Strong 4H trend""]","""Qualified""","{""raw_score"":78,""adjusted_score"":88,""action"":""BUY"",""setup_score"":91,""trade_allowed"":true,""opportunity_status"":""ENTRY_READY"",""block_reason"":""Qualified"",""reasons"":[""Strong macro confirmation"",""Strong 4H trend""],""asset_tier"":3,""macro_score"":75.0,""macro_bias"":""BULL"",""market_regime"":""BULL"",""bull_probability"":93.0,""bear_probability"":7.0,""score_15m"":60.0,""score_1h"":80.0,""score_4h"":80.0,""score_1d"":74.0,""alignment"":false,""conflict"":false,""gate_results"":{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}}","null","{""snapshot_id"":""71e88427debc4445a1957f57abcee4b6"",""snapshot_timestamp"":""2026-09-01T06:42:52.808255+00:00""}","""71e88427debc4445a1957f57abcee4b6""","""2026-09-01T06:42:52.808255+00:00""","{""decision_timestamp"":1788238800,""decision_status"":""closed"",""current_timestamp"":1788242400,""current_status"":""current""}","0.1574","0.1527","0.0","115.41531095","0.0","1.15415311","0.0","-115.41531095","false","false","false","0.0","0.1527","-115.42","0.0","15.23","0.0","-130.65","""STOP""","null","null","null","null","null","null"
"""SOLUSD-20260901064433""","null","""2026-09-01T06:44:33.870158+00:00""","""2026-09-01T09:05:06.733956+00:00""","""SOLUSD""","""LONG""","""CLOSED""","103.84","null","null","null","null","null","null","null","null","null","102.09376831","107.33246338","109.07869507","112.57115845","57.26616953","57.26616953","0.0","false","5946.52","1.0","100.0","0.59","3.0","false","75","88","88","3.0","70.0","0.84","""V10""","2","75.0","""BULL""","""BULL""","93.0","7.0","72.0","86.0","75.0","61.0","false","false","{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}","[""Strong macro confirmation"",""Strong 4H trend""]","""Qualified""","{""raw_score"":75,""adjusted_score"":88,""action"":""BUY"",""setup_score"":88,""trade_allowed"":true,""opportunity_status"":""ENTRY_READY"",""block_reason"":""Qualified"",""reasons"":[""Strong macro confirmation"",""Strong 4H trend""],""asset_tier"":2,""macro_score"":75.0,""macro_bias"":""BULL"",""market_regime"":""BULL"",""bull_probability"":93.0,""bear_probability"":7.0,""score_15m"":72.0,""score_1h"":86.0,""score_4h"":75.0,""score_1d"":61.0,""alignment"":false,""conflict"":false,""gate_results"":{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}}","null","{""snapshot_id"":""71e88427debc4445a1957f57abcee4b6"",""snapshot_timestamp"":""2026-09-01T06:42:52.808255+00:00""}","""71e88427debc4445a1957f57abcee4b6""","""2026-09-01T06:42:52.808255+00:00""","{""decision_timestamp"":1788238800,""decision_status"":""closed"",""current_timestamp"":1788242400,""current_status"":""current""}","104.27","102.06","24.6244529","101.93378176","0.24624453","1.01933782","24.6244529","-101.93378176","false","false","false","0.24624453","102.06","-101.93","0.0","23.58","0.0","-125.51","""STOP""","null","null","null","null","null","null"
"""AAVEUSD-20260901064434""","null","""2026-09-01T06:44:34.318244+00:00""","""2026-09-02T06:05:44.782237+00:00""","""AAVEUSD""","""LONG""","""CLOSED""","126.87","null","null","null","null","null","null","null","null","null","131.77428933","131.66142135","134.05713202","138.84855337","31.30595065","31.30595065","0.0","true","3971.79","0.75","75.0","0.4","3.0","false","77","82","84","3.0","70.0","0.94","""V10""","4","75.0","""BULL""","""BULL""","93.0","7.0","85.0","79.0","80.0","66.0","false","false","{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}","[""Strong macro confirmation"",""Strong 4H trend""]","""Qualified""","{""raw_score"":77,""adjusted_score"":82,""action"":""BUY"",""setup_score"":84,""trade_allowed"":true,""opportunity_status"":""ENTRY_READY"",""block_reason"":""Qualified"",""reasons"":[""Strong macro confirmation"",""Strong 4H trend""],""asset_tier"":4,""macro_score"":75.0,""macro_bias"":""BULL"",""market_regime"":""BULL"",""bull_probability"":93.0,""bear_probability"":7.0,""score_15m"":85.0,""score_1h"":79.0,""score_4h"":80.0,""score_1d"":66.0,""alignment"":false,""conflict"":false,""gate_results"":{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}}","null","{""snapshot_id"":""71e88427debc4445a1957f57abcee4b6"",""snapshot_timestamp"":""2026-09-01T06:42:52.808255+00:00""}","""71e88427debc4445a1957f57abcee4b6""","""2026-09-01T06:42:52.808255+00:00""","{""decision_timestamp"":1788238800,""decision_status"":""closed"",""current_timestamp"":1788242400,""current_status"":""current""}","134.17","125.14","228.53343974","54.15929462","3.04711253","0.72212393","228.53343974","-54.15929462","true","true","false","3.04711253","134.17","197.39","83.12","16.28","4.14","181.11","""TP2""","null","null","null","null","null","null"
"""RENDERUSD-20260901064434""","null","""2026-09-01T06:44:34.785567+00:00""","""2026-09-01T10:01:12.880820+00:00""","""RENDERUSD""","""LONG""","""CLOSED""","1.46","null","null","null","null","null","null","null","null","null","1.43260183","1.51479634","1.54219451","1.59699085","2737.40910433","2737.40910433","0.0","false","3996.62","0.75","75.0","0.4","3.0","false","72","82","84","3.0","70.0","0.94","""V10""","2","75.0","""BULL""","""BULL""","93.0","7.0","92.0","66.0","80.0","53.0","false","true","{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}","[""Strong macro confirmation"",""Timeframe conflict penalty"",""Strong 4H trend""]","""Qualified""","{""raw_score"":72,""adjusted_score"":82,""action"":""BUY"",""setup_score"":84,""trade_allowed"":true,""opportunity_status"":""ENTRY_READY"",""block_reason"":""Qualified"",""reasons"":[""Strong macro confirmation"",""Timeframe conflict penalty"",""Strong 4H trend""],""asset_tier"":2,""macro_score"":75.0,""macro_bias"":""BULL"",""market_regime"":""BULL"",""bull_probability"":93.0,""bear_probability"":7.0,""score_15m"":92.0,""score_1h"":66.0,""score_4h"":80.0,""score_1d"":53.0,""alignment"":false,""conflict"":true,""gate_results"":{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}}","null","{""snapshot_id"":""71e88427debc4445a1957f57abcee4b6"",""snapshot_timestamp"":""2026-09-01T06:42:52.808255+00:00""}","""71e88427debc4445a1957f57abcee4b6""","""2026-09-01T06:42:52.808255+00:00""","{""decision_timestamp"":1788238800,""decision_status"":""closed"",""current_timestamp"":1788242400,""current_status"":""current""}","1.464","1.427","10.94963642","90.33450044","0.14599515","1.20446001","10.94963642","-90.33450044","false","false","false","0.14599515","1.427","-90.33","0.0","15.8","0.0","-106.13","""STOP""","null","null","null","null","null","null"
"""LINKUSD-20260901065006""","null","""2026-09-01T06:50:06.489710+00:00""","""2026-09-01T19:02:07.872256+00:00""","""LINKUSD""","""LONG""","""CLOSED""","11.4974","null","null","null","null","null","null","null","null","null","11.29509123","11.90201754","12.10432631","12.50894385","617.86743106","617.86743106","0.0","false","7103.87","1.25","125.0","0.71","3.0","false","84","94","91","3.0","70.0","0.88","""V10""","2","75.0","""BULL""","""BULL""","93.0","7.0","85.0","85.0","99.0","46.0","false","true","{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}","[""Strong macro confirmation"",""Timeframe conflict penalty"",""Strong 4H trend""]","""Qualified""","{""raw_score"":84,""adjusted_score"":94,""action"":""STRONG BUY"",""setup_score"":91,""trade_allowed"":true,""opportunity_status"":""ENTRY_READY"",""block_reason"":""Qualified"",""reasons"":[""Strong macro confirmation"",""Timeframe conflict penalty"",""Strong 4H trend""],""asset_tier"":2,""macro_score"":75.0,""macro_bias"":""BULL"",""market_regime"":""BULL"",""bull_probability"":93.0,""bear_probability"":7.0,""score_15m"":85.0,""score_1h"":85.0,""score_4h"":99.0,""score_1d"":46.0,""alignment"":false,""conflict"":true,""gate_results"":{""regime"":true,""score"":true,""macro"":true,""1h"":true,""4h"":true,""1d"":true,""higher_timeframe_structure"":true,""adx_trend_strength"":true}}","null","{""snapshot_id"":""0d4af86d5ea74623a84f73d95d99c0a1"",""snapshot_timestamp"":""2026-09-01T06:49:02.452007+00:00""}","""0d4af86d5ea74623a84f73d95d99c0a1""","""2026-09-01T06:49:02.452007+00:00""","{""decision_timestamp"":1788238800,""decision_status"":""closed"",""current_timestamp"":1788242400,""current_status"":""current""}","11.5108","11.21","8.27942358","177.57509969","0.06623539","1.4206008","8.27942358","-177.57509969","false","false","false","0.06623539","11.21","-177.58","0.0","28.06","0.0","-205.64","""STOP""","null","null","null","null","null","null"
