trade_id,cycle_timestamp,opened_at,direction,entry,observed_price,observed_high,observed_low,stop_pre_management,closed,result,net_pnl,fees
PLUMEUSD-20260830180840,2026-09-01T03:06:53.232345+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01456,0.01454,0.01447,0.0142219,False,,,6.4
CHEXUSD-20260830233926,2026-09-01T03:06:54.239140+00:00,2026-08-30T23:39:26.409818+00:00,LONG,0.0107,0.0114,0.0124,0.0117,0.0108496,False,,,3.22
VVVUSD-20260831000642,2026-09-01T03:06:55.171191+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,16.914,16.876,16.832,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T03:06:56.360112+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T03:06:57.176050+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2464.13,2466.18,2463.84,2442.15430878,False,,,10.01
PLUMEUSD-20260830180840,2026-09-01T03:12:53.747397+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01456,0.01454,0.01444,0.0142219,False,,,6.4
CHEXUSD-20260830233926,2026-09-01T03:12:54.767007+00:00,2026-08-30T23:39:26.409818+00:00,LONG,0.0107,0.0114,0.0124,0.0114,0.0108496,False,,,3.22
VVVUSD-20260831000642,2026-09-01T03:12:55.781450+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,16.914,16.876,16.832,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T03:12:56.765891+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T03:12:57.629565+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2464.13,2466.79,2463.39,2442.15430878,False,,,10.01
PLUMEUSD-20260830180840,2026-09-01T03:18:30.482367+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01456,0.01454,0.01444,0.0142219,False,,,6.4
CHEXUSD-20260830233926,2026-09-01T03:18:31.523660+00:00,2026-08-30T23:39:26.409818+00:00,LONG,0.0107,0.0114,0.0124,0.0114,0.0108496,False,,,3.22
VVVUSD-20260831000642,2026-09-01T03:18:32.475373+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,16.914,16.876,16.832,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T03:18:33.459305+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T03:18:34.281231+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2464.13,2466.79,2463.39,2442.15430878,False,,,10.01
PLUMEUSD-20260830180840,2026-09-01T03:24:31.672956+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01456,0.01454,0.01444,0.0142219,False,,,6.4
CHEXUSD-20260830233926,2026-09-01T03:24:32.686050+00:00,2026-08-30T23:39:26.409818+00:00,LONG,0.0107,0.0114,0.0124,0.0114,0.0108496,False,,,3.22
VVVUSD-20260831000642,2026-09-01T03:24:33.694774+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,16.914,16.876,16.832,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T03:24:34.655745+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T03:24:35.614209+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2464.13,2466.79,2463.39,2442.15430878,False,,,10.01
PLUMEUSD-20260830180840,2026-09-01T03:29:52.143992+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01456,0.01454,0.01444,0.0142219,False,,,6.4
CHEXUSD-20260830233926,2026-09-01T03:29:53.129659+00:00,2026-08-30T23:39:26.409818+00:00,LONG,0.0107,0.0114,0.0124,0.0114,0.0108496,False,,,3.22
VVVUSD-20260831000642,2026-09-01T03:29:54.067671+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,16.914,16.876,16.832,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T03:29:55.037007+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T03:29:55.875609+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2464.13,2466.79,2462.83,2442.15430878,False,,,10.01
PLUMEUSD-20260830180840,2026-09-01T03:35:19.173916+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01456,0.01459,0.01444,0.0142219,False,,,6.4
CHEXUSD-20260830233926,2026-09-01T03:35:20.268136+00:00,2026-08-30T23:39:26.409818+00:00,LONG,0.0107,0.0114,0.0124,0.0114,0.0108496,False,,,3.22
VVVUSD-20260831000642,2026-09-01T03:35:21.221996+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,16.914,16.941,16.832,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T03:35:24.341200+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T03:35:28.945553+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2464.13,2478.91,2462.83,2442.15430878,False,,,10.01
PLUMEUSD-20260830180840,2026-09-01T03:42:11.347598+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01456,0.01479,0.01444,0.0142219,False,,,6.4
CHEXUSD-20260830233926,2026-09-01T03:42:15.067506+00:00,2026-08-30T23:39:26.409818+00:00,LONG,0.0107,0.0114,0.0124,0.0114,0.0108496,False,,,3.22
VVVUSD-20260831000642,2026-09-01T03:42:17.544801+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,16.914,17.072,16.832,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T03:42:19.533616+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T03:42:21.960357+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2464.13,2481.88,2462.83,2442.15430878,False,,,10.01
PLUMEUSD-20260830180840,2026-09-01T03:48:49.866217+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01456,0.01484,0.01444,0.0142219,False,,,6.4
CHEXUSD-20260830233926,2026-09-01T03:48:52.771483+00:00,2026-08-30T23:39:26.409818+00:00,LONG,0.0107,0.0114,0.0124,0.0114,0.0108496,False,,,3.22
VVVUSD-20260831000642,2026-09-01T03:49:01.665153+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,16.914,17.085,16.832,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T03:49:06.271764+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T03:49:09.648196+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2464.13,2481.88,2462.83,2442.15430878,False,,,10.01
PLUMEUSD-20260830180840,2026-09-01T03:57:24.633426+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01456,0.01493,0.01444,0.0142219,False,,,6.4
CHEXUSD-20260830233926,2026-09-01T03:57:30.059240+00:00,2026-08-30T23:39:26.409818+00:00,LONG,0.0107,0.0114,0.0124,0.0114,0.0108496,False,,,3.22
VVVUSD-20260831000642,2026-09-01T03:57:34.088319+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,16.914,17.085,16.832,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T03:57:35.607658+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T03:57:36.743368+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2464.13,2481.88,2462.83,2442.15430878,False,,,10.01
PLUMEUSD-20260830180840,2026-09-01T04:05:01.438018+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01486,0.0149,0.01484,0.0142219,False,,,6.4
CHEXUSD-20260830233926,2026-09-01T04:05:03.017878+00:00,2026-08-30T23:39:26.409818+00:00,LONG,0.0107,0.0122,0.0122,0.0122,0.0108496,True,TP2,218.72,6.89
VVVUSD-20260831000642,2026-09-01T04:05:04.220574+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,17.134,17.153,17.116,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T04:05:05.345473+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T04:05:06.410907+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2471.55,2473.56,2471.08,2442.15430878,False,,,10.01
PLUMEUSD-20260830180840,2026-09-01T04:11:10.674385+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01486,0.0149,0.01476,0.0142219,False,,,6.4
VVVUSD-20260831000642,2026-09-01T04:11:11.965194+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,17.134,17.298,17.116,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T04:11:13.454029+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T04:11:14.747962+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2471.55,2474.12,2470.01,2442.15430878,False,,,10.01
FETUSD-20260901040711,2026-09-01T04:11:16.500391+00:00,2026-09-01T04:07:11.744046+00:00,LONG,0.1568,0.1567,0.157,0.1565,0.15257656,False,,,11.14
PLUMEUSD-20260830180840,2026-09-01T04:16:40.609542+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01486,0.0149,0.01473,0.0142219,False,,,6.4
VVVUSD-20260831000642,2026-09-01T04:16:41.551358+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,17.134,17.363,17.116,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T04:16:42.535789+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.255,1.255,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T04:16:43.463201+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2471.55,2474.35,2470.01,2442.15430878,False,,,10.01
FETUSD-20260901040711,2026-09-01T04:16:44.430336+00:00,2026-09-01T04:07:11.744046+00:00,LONG,0.1568,0.1567,0.1574,0.1565,0.15257656,False,,,11.14
PLUMEUSD-20260830180840,2026-09-01T04:22:02.274845+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01486,0.0149,0.01473,0.0142219,False,,,6.4
VVVUSD-20260831000642,2026-09-01T04:22:03.147392+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,17.134,17.442,17.116,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T04:22:04.104889+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.257,1.257,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T04:22:05.040403+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2471.55,2475.77,2470.01,2442.15430878,False,,,10.01
FETUSD-20260901040711,2026-09-01T04:22:05.987948+00:00,2026-09-01T04:07:11.744046+00:00,LONG,0.1568,0.1567,0.1574,0.1565,0.15257656,False,,,11.14
PLUMEUSD-20260830180840,2026-09-01T04:27:31.744976+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01486,0.015,0.01473,0.0142219,False,,,6.4
VVVUSD-20260831000642,2026-09-01T04:27:32.722969+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,17.134,17.442,17.116,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T04:27:33.682246+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.257,1.257,1.24676442,False,,,4.48
ETHUSD-20260831201506,2026-09-01T04:27:34.604488+00:00,2026-08-31T20:15:06.897581+00:00,LONG,2479.29,2471.55,2476.91,2470.01,2442.15430878,False,,,10.01
FETUSD-20260901040711,2026-09-01T04:27:35.538663+00:00,2026-09-01T04:07:11.744046+00:00,LONG,0.1568,0.1567,0.1574,0.1565,0.15257656,False,,,11.14
PLUMEUSD-20260830180840,2026-09-01T04:33:02.495955+00:00,2026-08-30T18:08:40.402654+00:00,LONG,0.0148,0.01486,0.01503,0.01473,0.0142219,False,,,6.4
VVVUSD-20260831000642,2026-09-01T04:33:03.389962+00:00,2026-08-31T00:06:42.193453+00:00,LONG,17.042,17.134,17.442,17.116,16.48144257,False,,,4.56
ORCAUSD-20260831003413,2026-09-01T04:33:04.353549+00:00,2026-08-31T00:34:13.953869+00:00,LONG,1.29,1.255,1.263,1.257,1.24676442,False,,,4.48
